Spectrum	Date	Time	Acetylene (1000) 191C	Benzene  191c	C4F6 150C	CF4 Low 150C	CH4 (250) 191C (1of2)	CO (500) 191C (1of2)	CO2 ppm 191c	Desflurane 150c	Ethane (500) 191C	Ethylene (100,3000) 191C	H2O% (40) 191C	HCl ppm (100) 191C	HEXAFLUOROETHANE 150C	HEXAFLUOROPROPYLENE 150C	HF ppm (10) 191C	Isoflurane 150c	N2O (100,200,300) 191C	NO (350,3000) 191C	Propane (100) 191C	TRIFLUOROMETHANE 150C	Temp (C)	Pressure (Atm)	NO2 wet	CO wet	CH4 wet	NH3 wet	NOx wet	CO dry	CO2% dry	NO dry	NO2 dry	NOx dry	HC (C3)	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
2020 HEATING NEW PTFE LINE_0031.LAB	11/19/2020	14:16:50.915	0.181050	-2.755477	-0.022918	0.014862	2.093919	0.439850	460.610769	0.011555	1.361766	-0.053152	0.558729	0.010353	0.046407	0.026564	0.183095	0.013768	0.399484	-0.348086	0.065812	0.005552	192.063492	1.006238	-2.755477	0.096361	0.399484	2.093919	-2.574427	0.096372	0.558793	0.181071	-2.755795	-2.574725	0.251046	2.893268	6.362672	84.072655	8.784952	-5.461538	0.000000	1133.046143	0.000461	1388.410034	0.858693
2020 HEATING NEW PTFE LINE_0032.LAB	11/19/2020	14:16:54.842	0.347014	-0.804974	-0.018529	0.016564	2.155747	0.794936	457.871155	0.026471	1.110502	-0.009242	0.545415	0.236029	0.028209	-0.029211	0.174283	0.006812	0.478728	-0.173240	0.034168	0.004354	192.114365	1.007202	-0.804974	0.236029	0.478728	2.155747	-0.457960	0.236091	0.545559	0.347106	-0.805188	-0.458082	0.234278	2.897157	6.363306	84.512199	8.784952	-5.479121	0.000000	1133.045532	0.000135	951.696594	0.859439
2020 HEATING NEW PTFE LINE_0033.LAB	11/19/2020	14:16:59.096	-0.153717	-0.017549	-0.078573	0.017398	2.166819	0.516097	458.424609	0.012503	1.179633	0.035328	0.541929	0.124677	0.043443	0.013767	0.210898	0.001977	0.328681	-0.192695	0.210450	0.000486	192.114365	1.006639	-0.017549	0.128832	0.328681	2.166819	-0.171266	0.128848	0.541997	-0.153736	-0.017551	-0.171287	0.302480	2.902894	6.365084	83.433319	8.722635	-5.481318	0.000000	1133.045288	0.000264	989.192383	0.859460
2020 HEATING NEW PTFE LINE_0034.LAB	11/19/2020	14:17:02.732	0.235201	-1.305400	-0.011452	0.015963	2.204477	0.482392	457.542991	0.029207	1.062005	-0.055265	0.540759	0.020225	0.051101	0.012120	0.173865	0.018344	0.329698	-0.152740	-0.188912	0.003565	192.097412	1.006934	-1.305400	10.168318	0.329698	2.204477	-1.070199	10.171289	0.540917	0.235270	-1.305781	-1.070511	0.154202	2.906737	6.365647	83.273483	8.722635	-5.481318	0.000000	1133.045410	0.000248	1166.280151	0.860691
2020 HEATING NEW PTFE LINE_0035.LAB	11/19/2020	14:17:06.576	0.223187	-1.503181	0.074308	0.014624	2.059509	0.449679	455.695528	0.011385	0.831569	-0.001374	0.552798	-0.040135	0.039169	-0.026852	0.149488	0.003280	0.337365	-0.623405	0.250505	0.004961	192.088928	1.006961	-1.503181	-0.040082	0.337365	2.059509	-1.279994	-0.040087	0.552861	0.223212	-1.503352	-1.280140	0.290391	2.906789	6.365225	83.952782	8.774566	-5.481318	0.000000	1133.044678	0.000351	1035.162231	0.860015
2020 HEATING NEW PTFE LINE_0036.LAB	11/19/2020	14:17:10.536	-0.063676	-0.572416	-0.060068	0.017048	2.068015	0.344627	455.850270	0.008974	0.736356	0.062138	0.541088	0.105360	0.036650	0.010487	0.166253	0.006482	0.399332	-0.305615	0.131407	0.003951	192.114365	1.006800	-0.572416	0.105364	0.399332	2.068015	-0.636093	0.105373	0.541136	-0.063682	-0.572468	-0.636150	0.265028	2.904811	6.364895	83.393364	8.774566	-5.485714	0.000000	1133.045166	0.000161	1258.436523	0.860666
2020 HEATING NEW PTFE LINE_0037.LAB	11/19/2020	14:17:14.586	-0.142335	-1.157555	-0.018846	0.015544	2.147586	0.536697	456.394624	0.012845	0.996147	0.095487	0.540244	0.122823	0.029657	-0.036584	0.121817	-0.003317	0.314075	-0.146803	0.146341	0.002478	192.088928	1.006318	-1.157555	0.122823	0.314075	2.147586	-1.299890	0.122839	0.540314	-0.142354	-1.157703	-1.300057	0.200702	2.902146	6.364717	84.672035	8.743407	-5.485714	0.000000	1133.045166	0.000419	1087.960083	0.860025
2020 HEATING NEW PTFE LINE_0038.LAB	11/19/2020	14:17:18.678	0.201078	0.315550	0.002197	0.017265	2.164367	0.812846	453.780822	0.007444	1.101145	0.045348	0.546343	0.131130	0.043652	-0.005868	0.197382	0.005044	0.308512	-0.420102	-0.102731	0.004336	192.029572	1.006827	0.315550	0.136275	0.308512	2.164367	0.516628	0.136285	0.546384	0.201093	0.315573	0.516666	0.152813	2.900023	6.364496	83.353401	8.743407	-5.498901	0.000000	1133.044312	0.000199	927.113220	0.858763
2020 HEATING NEW PTFE LINE_0039.LAB	11/19/2020	14:17:22.350	0.085212	0.894010	-0.048374	0.015244	2.143991	0.502045	454.313999	0.010574	0.797827	0.002905	0.539959	0.151107	0.039012	0.029871	0.157863	0.002384	0.389403	-0.175756	0.172199	0.000873	192.063492	1.007121	0.894010	0.151152	0.389403	2.143991	0.979222	0.151168	0.540017	0.085221	0.894105	0.979326	0.288677	2.901398	6.364997	84.711990	8.774566	-5.498901	0.000000	1133.043579	0.000515	1268.878662	0.859229
2020 HEATING NEW PTFE LINE_0040.LAB	11/19/2020	14:17:26.191	0.322899	-0.689769	-0.047733	0.015208	2.079478	0.331095	453.557217	0.017315	0.625617	0.028304	0.540530	-0.040557	0.045486	-0.011000	0.153542	-0.026055	0.383720	-0.308161	-0.053338	0.000696	192.088928	1.007523	-0.689769	-0.006973	0.383720	2.079478	-0.366870	-0.006974	0.540624	0.322955	-0.689888	-0.366934	0.159951	2.906055	6.366069	83.912819	8.774566	-5.498901	0.000000	1133.044556	0.000018	1170.044434	0.860038
